,State,Rank,CMS Certification Number (CCN)*,Provider Name,Address,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Score,Offers,Total Score,"Excellent, Good, Poor",Latitude,Longitude
0,CA,1,59239,"VICTORY HOME HEALTH CARE, INC","909 S VICTORY BLVD, BURBANK CA 91502",8188482099,Local,50,50,50,50,50,50,40365,5,5,100,5,100,5,100,5,100,100,125,48,1000,300,1300,Excellent,34.1671384,-118.3087971
1,CA,2,58183,"EXCELLENT CARE HOME HEALTH SERVICES, INC","9037 ARROW ROUTE, SUITE 140, RANCHO CUCAMONGA CA 91730",9095813536,Official Health Agency,50,50,50,50,50,50,37762,5,5,99,5,100,5,100,5,100,100,76,71,999,300,1299,Excellent,34.0988097,-117.6081857
2,CA,3,59734,"PURE LIFE HOME HEALTH CARE, INC","11755 VICTORY BLVD, SUITE 202, N HOLLYWOOD CA 91606",8187622636,Local,50,50,50,50,50,50,42567,5,5,97,5,96,5,99,5,98,99,58,21,989,300,1289,Excellent,34.1869367,-118.3897922
3,CA,4,59318,"PATRIOT HOME HEALTH CARE, INC","440 WEST COLORADO ST, SUITE 215, GLENDALE CA 91204",8185510757,Local,50,50,50,50,50,50,40745,5,5,99,5,98,5,97,5,96,98,52,29,988,300,1288,Excellent,34.1422621,-118.2627994
4,CA,5,59430,"SANTA HOME HEALTH CARE, INC.","8281 MELROSE AVE, SUITE 205, LOS ANGELES CA 90046",3239333656,Official Health Agency,50,50,50,50,50,50,41047,5,5,98,5,97,5,99,5,100,94,149,35,988,300,1288,Excellent,34.0838467,-118.3701586
5,CA,6,59060,"WISDOM HEALTH CARE SERVICES, INC","12509 OXNARD STREET, SUITE 203, N HOLLYWOOD CA 91606",3103243290,Local,50,50,50,50,50,50,39914,5,5,97,5,97,5,100,5,99,94,87,24,987,300,1287,Excellent,34.1797222,-118.4056305
6,CA,7,58236,"XL CARE, INC","17555 VENTURA BLVD SUITE 201, ENCINO CA 91316",8187852944,Local,50,50,50,50,50,50,38012,5,5,99,5,99,5,95,5,99,94,57,30,986,300,1286,Excellent,34.1620774,-118.5160918
7,FL,8,108289,ANGELS CARE HOME HEALTH INC,"2260 SW 8TH ST STE 301, MIAMI FL 33125",3053649898,Local,50,50,50,50,50,50,38834,5,5,100,5,98,5,93,5,98,97,61,31,986,300,1286,Excellent,25.7651288,-80.2319135
8,TX,9,677887,COUNTRY HOME CARE,"1505 W MAIN ST, CLARKSVILLE TX 75426",9034278366,Local,50,50,50,50,50,50,38793,5,5,97,5,97,5,97,5,100,95,109,63,986,300,1286,Excellent,33.6102785,-95.0637778
10,TX,11,747363,PARIS SIGNATURE HOME HEALTH INC,"420 N COLLEGIATE, PARIS TX 75460",9037854900,Local,50,50,50,50,50,50,40289,5,5,98,5,97,5,97,5,99,94,74,44,985,300,1285,Excellent,33.66597,-95.5250925
11,CA,12,59562,"RAFAELLA HOME HEALTH CARE, INC","14328 VICTORY BLVD, STE 209, VAN NUYS CA 91401",8185100925,Local,50,50,50,50,50,50,41570,5,5,97,5,96,5,97,5,100,93,55,21,983,300,1283,Excellent,34.1864661,-118.4454023
12,CA,13,59504,"AID HOME HEALTH CARE, INC","1007 SOUTH CENTRAL AVE, SUITE 208, GLENDALE CA 91204",8182424979,Local,50,50,50,50,50,50,41352,5,5,97,5,97,5,98,5,96,94,49,25,982,300,1282,Excellent,34.1345366,-118.2581898
13,TX,14,679648,"ALGEN HEALTH, LLC","2626 SOUTH LOOP WEST # 550, HOUSTON TX 77054",7132180260,Local,50,50,50,50,50,50,39289,5,5,96,5,98,5,96,5,98,94,67,34,982,300,1282,Excellent,29.6785762,-95.4212017
14,CA,15,59185,"SIGMA HOME HEALTH CARE, INC","805 EAST BROADWAY, SUITE G, GLENDALE CA 91205",8185511141,Local,50,50,50,50,50,50,40274,5,5,95,5,96,5,97,5,97,96,114,25,981,300,1281,Excellent,34.1464716,-118.2453013
15,NE,16,287053,HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,"P O BOX 367,  141 EAST 5TH STREET, WAHOO NE 68066",4024434798,Local,50,50,50,50,50,50,32234,5,5,97,5,95,5,93,5,97,98,49,53,980,300,1280,Excellent,41.2112564,-96.619317
16,TX,17,677850,TEXOMA HOME HEALTH,"2008 LOY LAKE ROAD, SHERMAN TX 75092",9038689991,Local,50,50,50,50,50,50,38796,5,5,93,5,96,5,97,5,98,96,80,49,980,300,1280,Excellent,33.6584195,-96.606403
17,CT,18,77078,ORANGE VISITING NURSE ASSOCIATION,"605A ORANGE CENTER RD, ORANGE CT 6477",2038912165,Visiting Nurse Association,50,50,50,50,50,50,24289,5,5,97,5,96,5,90,5,98,98,80,54,979,300,1279,Excellent,41.2781071,-73.0252929
18,KY,19,187021,MIDDLESBORO ARH HOME HEALTH AGENCY,"1916 CUMBERLAND AVENUE, MIDDLESBORO KY 40965",6062421404,Official Health Agency,50,50,50,50,50,50,25212,5,5,96,5,98,5,93,5,99,93,50,28,979,300,1279,Excellent,36.6074434,-83.7134179
19,OK,20,377778,OLDHAM HOME CARE LLC,"519 EAST MAIN STREET, STIGLER OK 74462",9189679971,Local,50,50,50,50,50,50,41907,5,5,97,5,91,5,98,5,96,97,52,49,979,300,1279,Excellent,35.2531361,-95.1201703
20,TX,21,677841,PATIENTS BEST CHOICE HOME HEALTHCARE,"3427 W FM 120 SUITE 105, DENISON TX 75020",9034620604,Local,50,50,50,50,50,50,38792,5,5,96,5,97,5,94,5,95,96,126,44,978,300,1278,Excellent,33.7615198,-96.5886412
21,TX,22,679081,SOUTH WEST TEXAS HOME HEALTH INC,"150 LAMESA DR, BRIDGE CITY TX 77611",4097356100,Official Health Agency,50,50,50,50,50,50,37188,5,5,98,5,96,5,90,5,94,100,81,32,978,300,1278,Excellent,30.0350551,-93.8301689
22,CO,23,67443,SUPER HEALTH CARE INC,"6795 E TENNESSEE AVE SUITE 225, DENVER CO 80224",3039911009,Local,50,50,50,50,50,50,38349,5,5,98,5,98,5,93,5,95,93,212,31,977,300,1277,Excellent,39.6990469,-104.9098215
23,CA,24,59641,CAMARILLO HHCA INC,"18107 SHERMAN WAY, SUITE 212, RESEDA CA 91335",8183452200,Local,50,50,50,50,50,50,41961,5,5,94,5,95,5,94,5,99,94,43,25,976,300,1276,Excellent,34.2014778,-118.5277222
24,OK,25,377719,FAMILY CHOICE HOME CARE,"801 W 2ND STREET, ELK CITY OK 73644",5802254140,Local,50,50,50,50,50,50,39581,5,5,95,5,96,5,96,5,97,92,47,48,976,300,1276,Excellent,35.4129387,-99.4132164
25,OK,26,377723,UNITY HOME HEALTH L L C,"1415 WEST MAIN STREET, SUITE 200, DURANT OK 74701",5809310995,Official Health Agency,50,50,50,50,50,50,39682,5,5,96,5,96,5,92,5,96,96,67,45,976,300,1276,Excellent,33.9942975,-96.3918069
26,TX,27,747956,COLEMAN HOME HEALTH AND HOSPICE INC,"406 WEST ELM STREET, COLEMAN TX 76834",3256253222,Local,50,50,50,50,50,50,42075,5,5,95,5,95,5,95,5,97,94,64,47,976,300,1276,Excellent,31.8283671,-99.4262909
27,LA,28,197114,BUNKIE HOMECARE,"1123 SHIRLEY ROAD, BUNKIE LA 71322",3183463312,Local,50,50,50,50,50,50,30732,5,5,95,5,96,5,95,5,94,95,124,34,975,300,1275,Excellent,30.9590909,-92.195972
28,TX,29,453144,PATHFINDER HOME HEALTH,"311 S PALESTINE STREET, ATHENS TX 75751",9036778301,Local,50,50,50,50,50,50,38217,5,5,96,5,95,5,92,5,98,94,73,37,975,300,1275,Excellent,32.2000979,-95.8534153
29,TN,30,447264,"HMC HOME HEALTH, LLC","115 PATTERSON ROAD, SAVANNAH TN 38372",7319250276,Local,50,50,50,50,50,50,30735,5,5,95,5,96,5,96,5,94,93,182,41,974,300,1274,Excellent,35.2290822,-88.232464
30,TX,31,677428,CARE PLUS HOME HEALTH,"101 NORTH PECAN ST, WOODVILLE TX 75979",4092833600,Local,50,50,50,50,50,50,33479,5,5,93,5,95,5,93,5,96,97,65,43,974,300,1274,Excellent,30.7756996,-94.4238823
32,LA,33,197769,ACADIAN HOMECARE / ABBEVILLE,"302 NORTH HOSPITAL DRIVE, ABBEVILLE LA 70510",3378920805,Local,50,50,50,50,50,50,37133,5,5,97,5,95,5,92,5,94,95,107,40,973,300,1273,Excellent,29.9736474,-92.1073807
33,CA,34,59035,CENTRAL HOME HEALTH AGENCY,"210 N. CENTRAL AVENUE, SUITE 210, GLENDALE CA 91203",8182420439,Local,50,50,50,50,50,50,39822,5,5,94,5,96,5,94,5,96,92,52,17,972,300,1272,Excellent,34.1484943,-118.2576188
36,TX,37,747493,CARINGBRIDGE HOME HEALTH CARE LLC,"207 SOUTH TRAVIS STREET, SHERMAN TX 75090",9038701000,Local,50,50,50,50,50,50,40506,5,5,92,5,93,5,99,5,96,92,70,48,972,300,1272,Excellent,33.6352897,-96.6087714
37,LA,38,197470,KINDRED AT HOME,"1305 DEREK DRIVE, SUITES 1 & 2, HAMMOND LA 70403",9854299040,Local,50,50,50,50,50,50,33862,5,5,95,5,93,5,95,5,95,93,110,22,971,300,1271,Excellent,30.487023,-90.4844874
38,MI,39,237791,ALLIED HOME HEALTH CARE & NURSING SERVICES,"4800 CADIEUX ROAD, DETROIT MI 48224",3138857841,Local,50,50,50,50,50,50,39759,5,5,96,5,92,5,93,5,99,91,40,24,971,300,1271,Excellent,42.4053232,-82.9282646
39,FL,40,103179,MGN HEALTHCARE SERVICES,"6175 NW 153RD STREET STE 328, MIAMI LAKES FL 33014",3057704650,Local,50,50,50,50,50,50,41366,5,5,98,5,95,5,90,5,95,92,62,13,970,300,1270,Excellent,25.9131458,-80.3010707
40,LA,41,197295,"MANGHAM HOME CARE, INC.","714 BROADWAY, MANGHAM LA 71259",3182482797,Local,50,50,50,50,50,50,33273,5,5,96,5,94,5,94,5,93,93,52,40,970,300,1270,Excellent,32.3053419,-91.7755191
41,PA,42,397638,PARAGON HOME HEALTH CARE CORPORATION,"36 N SCOTT STREET, CARBONDALE PA 18407",5702821770,Local,50,50,50,50,50,50,34887,5,5,97,5,95,5,92,5,92,94,53,41,970,300,1270,Excellent,41.5751593,-75.5084255
42,TN,43,447201,DEACONESS HOMECARE,"123 PICKWICK STREET, SAVANNAH TN 38372",7319256626,Local,50,50,50,50,50,50,30369,5,5,95,5,94,5,93,5,95,93,290,38,970,300,1270,Excellent,35.2255115,-88.2457889
43,TX,44,677796,TEXAS QUALITY HOME HEALTH,"125 HERITAGE ROW, MARLIN TX 76661",2548033000,Local,50,50,50,50,50,50,34416,5,5,95,5,96,5,90,5,97,92,51,45,970,300,1270,Excellent,31.3091158,-96.8966275
44,TX,45,747939,A DOSE OF CARE HOME HEALTH INC,"301 N KING ST STE 108, ALICE TX 78332",3613964208,Local,50,50,50,50,50,50,42047,5,5,93,5,94,5,95,5,94,93,44,42,969,300,1269,Excellent,27.7534679,-98.0760598
47,IN,48,157654,GOLDEN AGE HOME HEALTH CARE LLC,"1711 SOUTH STATE ROAD 135, SUITE A, GREENWOOD IN 46143",3178932449,Local,50,50,50,50,50,50,41278,5,5,96,5,95,5,90,5,95,92,72,35,968,300,1268,Excellent,39.5920933,-86.1583388
48,LA,49,197187,HOME HEALTH CTR OF THIBODAUX,"804 BAYOU LANE, THIBODAUX LA 70301",9854478442,Hospital Based Program,50,50,50,50,50,50,31219,5,5,95,5,94,5,93,5,95,91,299,32,968,300,1268,Excellent,29.7860037,-90.8110767
49,AR,50,47109,ACMC FAMILY HOME HEALTH,"211 PINE STREET, CROSSETT AR 71635",8703645555,Hospital Based Program,50,50,50,50,50,50,32734,5,5,95,5,95,5,95,5,92,90,121,41,967,300,1267,Excellent,33.1337602,-91.9603129
50,OK,51,377752,"MACARTHUR PARK HOME HEALTH, INC","120 WEST MACARTHUR, SHAWNEE OK 74804",4058784753,Official Health Agency,50,50,50,50,50,50,40766,5,5,93,5,94,5,94,5,96,90,51,41,967,300,1267,Excellent,35.3626918,-96.9257793
51,TX,52,679496,YOUR HEALTH TEAM,"1512 FM 2727, KAUFMAN TX 75142",9729628349,Local,50,50,50,50,50,50,38140,5,5,96,5,90,5,93,5,93,95,98,33,967,300,1267,Excellent,32.5892095,-96.2735145
53,LA,54,197462,EUNICE COMMUNITY HOME HEALTH,"3581 HIGHWAY 190, EUNICE LA 70535",3375500002,Local,50,50,50,50,50,50,33793,5,5,94,5,94,5,92,5,94,92,126,33,966,300,1266,Excellent,30.4959195,-92.3835101
54,NC,55,347100,PRUITTHEALTH AT HOME - AVERY,"3616 MITCHELL AVENUE, SUITES 5 - 6, NEWLAND NC 28657",8287331550,Official Health Agency,50,50,50,50,50,50,29403,5,5,94,5,92,5,93,5,93,94,124,40,966,300,1266,Excellent,36.0873484,-81.9273362
56,TX,57,459266,ASSISTCARE,"100 ZEID BOULEVARD SUITE B, HENDERSON TX 75652",9036574413,Local,50,50,50,50,50,50,35563,5,5,94,5,94,5,94,5,93,91,203,37,966,300,1266,Excellent,32.167379,-94.779141
57,AL,58,17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2, HAMILTON AL 35570",2059210391,Local,50,50,50,50,50,50,33906,5,5,94,5,94,5,92,5,93,92,107,37,965,300,1265,Excellent,34.142067,-87.990251
59,LA,60,197612,"CONCEPTS OF CARE HOME HEALTH, INC","100 GENERAL MOUTON, LAFAYETTE LA 70501",3372899688,Local,50,50,50,50,50,50,34292,5,5,94,5,94,5,92,5,93,92,242,40,965,300,1265,Excellent,30.218258,-92.018065
60,NH,61,307038,NEWFOUND AREA NURSING ASSN,"214 LAKE STREET, BRISTOL NH 3222",6037442733,Visiting Nurse Association,50,50,50,50,50,50,25435,5,5,94,5,92,5,90,5,94,95,71,49,965,300,1265,Excellent,43.5950616,-71.7441029
62,PA,63,398075,HUMAN TOUCH HOME HEALTH - ALLENTOWN,"1541 ALTA DRIVE, SUITE 207, WHITEHALL PA 18052",4846642940,Visiting Nurse Association,50,50,50,50,50,50,39412,5,5,96,5,90,5,93,5,94,92,45,23,965,300,1265,Excellent,40.6270862,-75.4861963
64,LA,65,197727,KEY HOME HEALTH CARE,"16030 LAMONTE DRIVE SUITE A, HAMMOND LA 70403",9855491539,Official Health Agency,50,50,50,50,50,50,34908,5,5,93,5,94,5,91,5,95,91,114,27,964,300,1264,Excellent,30.4721871,-90.4560968
65,LA,66,197729,SMART HEALTH CARE INC,"6135 FAIRFIELD AVENUE, SHREVEPORT LA 71106",3188659747,Local,50,50,50,50,50,50,34912,5,5,95,5,90,5,94,5,94,91,81,41,964,300,1264,Excellent,32.449556,-93.7499364
67,MS,68,257309,KINDRED AT HOME,"200 S. PONTOTOC ROAD, SUITE A, BRUCE MS 38915",6629832273,Local,50,50,50,50,50,50,29277,5,5,95,5,92,5,92,5,94,91,211,32,964,300,1264,Excellent,33.9886515,-89.3499296
68,VA,69,497475,LIBERTY HOME CARE V LLC,"797 WOODLAWN DRIVE - SUITE 103, STUART VA 24171",2767554766,Local,50,50,50,50,50,50,34501,5,5,94,5,94,5,91,5,95,90,95,34,964,300,1264,Excellent,36.6444785,-80.254631
70,CA,71,59677,"EDEN HOME HEALTH, INC.","20944 SHERMAN WAY, SUITE 207, CANOGA PARK CA 91303",8183240728,Local,50,50,50,50,50,50,42212,5,5,95,5,92,5,93,5,93,90,40,16,963,300,1263,Excellent,34.200745,-118.5900354
71,IN,72,157565,AMERICAN NURSING CARE INC,"2504 WATERBRIDGE WAY, EVANSVILLE IN 47710",8124244262,Local,50,50,50,50,50,50,38589,5,5,95,5,91,5,91,5,93,93,73,31,963,300,1263,Excellent,38.0018207,-87.5718411
75,FL,76,109709,A CARE CONNECTION HOME HEALTH,"1525A THE GREENS WAY, JACKSONVILLE BEACH FL 32250",9048995520,Local,50,50,50,50,50,50,40790,5,5,94,5,93,5,92,5,93,90,87,33,962,300,1262,Excellent,30.254489,-81.401375
76,IA,77,167136,GREAT RIVER HOME HEALTH CARE,"1306 SOUTH WASHINGTON ROAD, WEST BURLINGTON IA 52655",3197683350,Hospital Based Program,50,50,50,50,50,50,30699,5,5,94,5,92,5,93,5,93,90,145,34,962,300,1262,Excellent,40.8077857,-91.1788258
77,LA,78,197778,"PRIME CARE HOME HEALTH, A PART OF THE ELARA CARING","42276 VETERANS AVENUE, SUITE B, HAMMOND LA 70403",9853408000,Local,50,50,50,50,50,50,37869,5,5,93,5,91,5,93,5,95,90,120,30,962,300,1262,Excellent,30.4730156,-90.456569
78,MI,79,237617,OMNI HOME HEALTH CARE,"25932 DEQUINDRE ROAD, SUITE A, WARREN MI 48091",5865820188,Local,50,50,50,50,50,50,38974,5,5,93,5,91,5,91,5,96,91,74,35,962,300,1262,Excellent,42.4832861,-83.0826504
79,MO,80,267462,NORTH KANSAS CITY HOSPITAL HOME HEALTH SERVICES,"2800 CLAY EDWARDS DRIVE, NORTH KANSAS CITY MO 64116",8166911358,Hospital Based Program,50,50,50,50,50,50,34591,5,5,93,5,92,5,92,5,94,91,308,35,962,300,1262,Excellent,39.1495404,-94.551452
81,TX,82,679106,ACTIVE HOME CARE SERVICES,"401 NORTH STEMMONS, SANGER TX 76266",9406864663,Local,50,50,50,50,50,50,37294,5,5,94,5,91,5,92,5,94,91,57,44,962,300,1262,Excellent,33.363453,-97.181708
83,LA,84,197063,LOUISIANA HOMECARE OF MISS-LOU,"200 SERIO BLVD, FERRIDAY LA 71334",3183362323,Local,50,50,50,50,50,50,29451,5,5,94,5,93,5,90,5,91,93,103,25,961,300,1261,Excellent,31.6495079,-91.5563353
85,LA,86,197443,AMEDISYS HOME HEALTH,"4015 COMMON STREET, LAKE CHARLES LA 70607",3374779820,Local,50,50,50,50,50,50,33700,5,5,93,5,93,5,91,5,92,92,89,32,961,300,1261,Excellent,30.1850007,-93.2135133
86,LA,87,197776,LOUISIANA HOMECARE/ SPRINGHILL,"1112 DOCTORS DRIVE, SPRINGHILL LA 71075",3185395980,Local,50,50,50,50,50,50,37475,5,5,95,5,93,5,90,5,93,90,164,35,961,300,1261,Excellent,33.0113256,-93.4447491
88,PA,89,397631,UPMC HOME HEALTHCARE,"628 NORTH FRALEY STREET, KANE PA 16735",8148375171,Hospital Based Program,50,50,50,50,50,50,34775,5,5,95,5,90,5,92,5,94,90,85,47,961,300,1261,Excellent,41.6720035,-78.81534
89,TX,90,677101,HEALING HANDS HEALTHCARE LLC,"901 INDIANA AVE STE # 665, WICHITA FALLS TX 76301",9404320588,Local,50,50,50,50,50,50,31957,5,5,94,5,91,5,91,5,94,91,273,38,961,300,1261,Excellent,33.9116171,-98.4896059
90,AR,91,47046,ELITE HOME HEALTH,"54 GRASSE STREET, CALICO ROCK AR 72519",8702973738,Local,50,50,50,50,50,50,30028,5,5,95,5,91,5,92,5,91,91,166,37,960,300,1260,Excellent,36.1258466,-92.1285907
93,MO,94,267269,"CARING NURSES HOME HEALTH AGENCY, INC","5911 N W BARRY ROAD, SUITE 200, KANSAS CITY MO 64154",8165877722,Local,50,50,50,50,50,50,32129,5,5,93,5,92,5,91,5,94,90,221,48,960,300,1260,Excellent,39.245654,-94.6484656
97,TX,98,677920,EXCEL COMPLETE HOME HEALTHCARE INC,"3804 JOHN STOCKBAUER DRIVE SUITE E, VICTORIA TX 77904",3615754500,Official Health Agency,50,50,50,50,50,50,38840,5,5,94,5,94,5,91,5,91,90,103,33,960,300,1260,Excellent,28.8500933,-96.9781709
108,VA,109,497713,ACCESS HOME HEALTH CARE AND REHABILITATION,"1123 E STUART DRIVE, GALAX VA 24333",2762663149,Local,50,50,50,50,50,50,42096,5,5,93,5,93,5,90,5,92,91,222,59,959,300,1259,Excellent,36.6891477,-80.8820989
