,State,Rank,CMS Certification Number (CCN)*,Provider Name,Address,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Score,Offers,Total Score,"Excellent, Good, Poor",Latitude,Longitude
112,MI,113,237279,SCHOOLCRAFT MEMORIAL HOMECARE AND HOSPICE,"115 LAKE ST, MANISTIQUE MI 49854",9063413284,Hospital Based Program,50,50,50,50,50,50,34863,5,5,90,5,91,5,91,5,92,94,97,46,958,300,1258,Excellent,45.9583881,-86.2415259
123,KY,124,187099,LIFELINE HEALTH CARE OF PULASKI,"600 1/2 CLIFTY STREET, SUITES 2 AND 3, SOMERSET KY 42503",6066799245,Local,50,50,50,50,50,50,30956,5,5,94,5,91,5,90,5,92,90,1469,34,957,300,1257,Excellent,37.0980665,-84.6166373
125,MO,126,267560,HOME HEALTH OF HARRISON COUNTY HOSPITAL,"P O BOX 428, BETHANY MO 64424",6604257863,Hospital Based Program,50,50,50,50,50,50,36326,5,5,94,5,90,5,90,5,93,90,70,61,957,300,1257,Excellent,40.2683344,-94.0282861
131,TX,132,677686,JEFFERSON COUNTY HOME HEALTH CARE INC,"2670 LAUREL STREET, BEAUMONT TX 77702",4098359909,Local,50,50,50,50,50,50,34205,5,5,93,5,90,5,91,5,92,91,74,40,957,300,1257,Excellent,30.0831583,-94.1283685
135,MS,136,257002,NORTH MISSISSIPPI MEDICAL CTR HHA,"812 GARFIELD, TUPELO MS 38801",6623772499,Hospital Based Program,50,50,50,50,50,50,24289,5,5,93,5,91,5,90,5,92,90,562,25,956,300,1256,Excellent,34.2416872,-88.7195925
138,TX,139,747307,LA ESPERANZA HOME HEALTH INC,"5703 SPRINGFIELD AVE, LAREDO TX 78041",9567234702,Local,50,50,50,50,50,50,40133,5,5,92,5,91,5,90,5,91,92,43,25,956,300,1256,Excellent,27.5464374,-99.4908487
211,CA,212,59652,"MERCURY HOME HEALTH SERVICES, INC","2829 N GLENOAKS BLVD  SUITE 104, BURBANK CA 91504",7472418593,Local,50,50,50,50,50,50,42047,5,5,95,5,96,5,92,4,93,90,46,7,946,300,1246,Excellent,34.2032648,-118.3352518
214,TX,215,743112,MYNURSE HOME CARE INC,"11601 SHADOW CREEK PKWY SUITE # 107, PEARLAND TX 77584",7134360999,Local,50,50,50,50,50,50,39542,5,4,93,5,94,5,93,5,93,93,67,41,946,300,1246,Excellent,29.5802512,-95.3958775
219,TX,220,747834,TRADITIONS HEALTH CARE,"1608 EAST MAIN STREET SUITE 115, MADISONVILLE TX 77864",9363482707,Local,50,50,50,50,50,50,41425,5,5,94,5,91,5,94,4,91,93,124,29,943,300,1243,Excellent,30.9560621,-95.89529
221,LA,222,197606,FRANKLIN HOMECARE,"1810 MAIN STREET, FRANKLIN LA 70538",3378282929,Local,50,50,50,50,50,50,34239,5,5,95,5,91,5,93,4,91,92,89,27,942,300,1242,Excellent,29.8067537,-91.506518
228,IL,229,148059,SENIOR HOME HEALTH AGENCY,"1400 RENAISSANCE DRIVE SUITE 212, PARK RIDGE IL 60068",8473768939,Local,50,50,50,50,50,50,39948,5,5,97,5,90,5,90,4,91,92,65,34,940,300,1240,Excellent,42.0330884,-87.8637988
229,LA,230,197060,"ACADIAN HOMECARE, LLC","458 HEYMANN BLVD BLDG A, LAFAYETTE LA 70503",3372358185,Local,50,50,50,50,50,50,28998,5,5,93,5,93,5,91,4,91,92,475,31,940,300,1240,Excellent,30.2028774,-92.0171034
230,LA,231,197714,BAYOU HOME CARE,"1020 DAVID DRIVE SUITE 110, MORGAN CITY LA 70380",9853292273,Local,50,50,50,50,50,50,34823,5,4,91,5,91,5,92,5,94,92,99,27,940,300,1240,Excellent,29.7059179,-91.1967211
231,CA,232,59467,"STEWARD HOME HEALTH AGENCY, INC.","16446 WOODRUFF AVE, SUITE B, BELLFLOWER CA 90706",5628696723,Local,50,50,50,50,50,0,41201,5,5,99,5,100,5,97,5,100,93,63,26,989,250,1239,Excellent,33.8838892,-118.1170201
232,IA,233,167186,MERCYONE WATERLOO HOME HEALTH CARE,"2101 KIMBALL AVENUE, SUITE 140, WATERLOO IA 50702",3192725050,Hospital Based Program,50,50,50,50,50,50,31761,5,5,94,5,90,5,93,4,92,90,154,41,939,300,1239,Excellent,42.4703867,-92.3553478
256,AL,257,17134,LHC HOMECARE OF SOUTH ALABAMA,"1802 US HIGHWAY 84 WEST, SUITE A, OPP AL 36467",3344932087,Local,50,50,50,50,50,50,34499,5,5,93,5,93,5,90,4,90,90,384,35,936,300,1236,Excellent,31.3943261,-86.161432
264,OK,265,377520,HEALTHBACK OF PURCELL,"519 WEST DELAWARE STREET, PURCELL OK 73080",4055270027,Local,50,50,50,50,50,50,35122,5,5,93,5,91,5,90,4,92,90,383,37,936,300,1236,Excellent,35.0085335,-97.3677358
265,OK,266,377770,"KAL HOME HEALTH, INC","302 NORTH POCOLA BLVD, POCOLA OK 74902",9184366179,Local,50,50,50,50,0,50,41533,5,5,99,5,96,5,94,5,100,97,46,36,986,250,1236,Excellent,35.2626098,-94.4776021
283,FL,284,107793,"PROFESSIONAL HOME SERVICES, INC.","6001 NW 153RD ST, STE 152, MIAMI LAKES FL 33014",3058271211,Local,50,50,50,50,50,50,37883,5,5,92,5,91,5,91,4,90,90,48,19,934,300,1234,Excellent,25.9127174,-80.29946
290,LA,291,197278,"R&R HOME CARE, INC.","1148 N CAUSEWAY BLVD, MANDEVILLE LA 70471",9856243800,Local,50,50,50,50,50,50,33064,5,5,92,5,91,5,90,4,90,91,123,30,934,300,1234,Excellent,30.383334,-90.091589
402,MO,403,267025,CLARK COUNTY HOME HEALTH AGENCY,"PO BOX 12, KAHOKA MO 63445",6607272356,Official Health Agency,50,50,50,50,0,50,24889,5,5,97,5,94,5,95,5,96,96,48,52,978,250,1228,Excellent,40.4203184,-91.7196088
435,FL,436,109554,AMERICAN HOME HEALTH PROVIDERS CORP,"3408 W 84TH ST STE 203, HIALEAH FL 33018",3058203001,Local,50,50,50,0,50,50,40331,5,5,98,5,98,5,90,5,95,95,45,22,976,250,1226,Excellent,25.8970324,-80.3527709
458,IL,459,148044,"FOUR SEASONS HOME HEALTHCARE, INC","6042 W OAKTON STREET, MORTON GROVE IL 60053",8479661616,Local,50,50,50,50,50,50,39881,5,4,91,5,94,5,93,4,95,92,45,24,925,300,1225,Excellent,42.0264697,-87.7939388
500,TX,501,673148,KELTON HOME HEALTH CARE,"301 WEST MAIN STREET, ATLANTA TX 75551",9037964040,Local,50,50,50,50,0,50,38420,5,5,95,5,94,5,91,5,97,96,86,46,973,250,1223,Excellent,33.1149249,-94.1705341
521,AR,522,47088,INTREPID USA HEALTHCARE SERVICES,"109 9TH STREET, BUILDING 1, MCCRORY AR 72101",8707315441,Local,50,50,50,50,0,50,30798,5,5,95,5,94,5,90,5,97,95,56,36,971,250,1221,Excellent,35.256198,-91.200125
539,AR,540,47148,FIVE RIVERS MEDICAL CENTER HOME HEALTH,"432 COUNTRY CLUB ROAD, POCAHONTAS AR 72455",8708926070,Hospital Based Program,50,50,50,50,0,50,34199,5,5,95,5,93,5,93,5,96,93,196,37,970,250,1220,Excellent,36.292193,-91.000184
541,IA,542,167046,HARRISON COUNTY PUBLIC HEALTH,"116 N 2ND AVENUE  COURTHOUSE AVENUE, LOGAN IA 51546",7126442220,Official Health Agency,50,50,50,50,0,50,25951,5,5,94,5,90,5,96,5,95,95,49,56,970,250,1220,Excellent,41.6437452,-95.7889972
547,MO,548,267206,CARROLL CO MEM HOSPITAL HOME HEALTH CARE AGENCY,"1502 N JEFFERSON STREET, CARROLLTON MO 64633",6605423301,Hospital Based Program,50,50,50,50,0,50,30888,5,5,95,5,93,5,92,5,97,93,72,59,970,250,1220,Excellent,39.376687,-93.493184
553,TX,554,458006,SEYMOUR HOSPITAL HOME HEALTH,"600 N MAIN ST, SEYMOUR TX 76380",9408893755,Hospital Based Program,50,50,50,50,0,50,34432,5,5,95,5,92,5,94,5,96,93,95,56,970,250,1220,Excellent,33.5933096,-99.2600015
556,AR,557,47024,SPRING RIVER HOME HEALTH AGENCY,"121 SOUTH PICKREN, SALEM AR 72576",8708952627,Local,50,50,50,50,0,50,29692,5,5,96,5,93,5,91,5,95,94,171,43,969,250,1219,Excellent,36.3712259,-91.8237866
567,LA,568,197135,WEST CARROLL MEM. HOSPITAL HOME,"110 NORTH FRONT STREET, OAK GROVE LA 71263",3184289604,Hospital Based Program,50,50,50,50,0,50,30854,5,5,96,5,92,5,91,5,96,93,96,28,968,250,1218,Excellent,32.8639229,-91.3884953
568,MO,569,267185,HOME HEALTH OF THE OZARKS,"507 WEST HWY 17, HOUSTON MO 65483",4179671240,Hospital Based Program,50,50,0,50,50,50,30749,5,5,96,5,91,5,90,5,97,94,43,34,968,250,1218,Excellent,37.3196416,-91.9663603
571,CO,572,67295,PROWERS MEDICAL CENTER HOME HEALTH,"401 KENDALL DRIVE, LAMAR CO 81052",7193366881,Hospital Based Program,50,50,50,50,0,50,35508,5,5,96,5,95,5,90,5,94,92,67,29,967,250,1217,Excellent,38.0697813,-102.6104986
572,FL,573,109230,PRINCESS HOME HEALTH AGENCY INC,"175 FONTAINEBLEAU BLVD STE 2G3, MIAMI FL 33172",3056933108,Local,50,50,50,0,50,50,39886,5,5,97,5,93,5,94,5,93,90,42,18,967,250,1217,Excellent,25.7710411,-80.3385876
573,GA,574,117123,"THREE RIVERS HOME HEALTH SERVICES, INC","115 NORTHWEST MAIN STREET, VIDALIA GA 30474",9125379192,Local,50,50,50,50,50,0,36139,5,5,94,5,93,5,91,5,93,96,52,34,967,250,1217,Excellent,32.2195714,-82.4127454
574,TX,575,679222,HOMECARE SOLUTIONS OF EAST TEXAS INC,"718 WEST BLUFF, WOODVILLE TX 75979",4093319492,Local,50,50,50,0,50,50,37652,5,5,93,5,93,5,96,5,92,93,74,50,967,250,1217,Excellent,30.7756278,-94.4234414
575,AR,576,47048,CROSSRIDGE COMM HOSPITAL HOME HEALTH,"732 EAST ELDRIDGE AVENUE, WYNNE AR 72396",8702081140,Hospital Based Program,50,50,50,50,0,50,30075,5,5,94,5,92,5,96,5,92,92,67,25,966,250,1216,Excellent,35.2425791,-90.7827427
581,OK,582,377676,"CARTER HEALTHCARE OF SOUTH OKLAHOMA, LLC","217 N COMMERCE, SUITE G, ARDMORE OK 73401",5802263166,Local,50,50,50,50,0,50,38225,5,5,96,5,92,5,94,5,94,90,112,37,966,250,1216,Excellent,34.1796717,-97.1445861
590,MN,591,247202,MADELIA COMMUNITY HOSPITAL HOME CARE,"121 DREW AVENUE SOUTHEAST, MADELIA MN 56062",5076423255,Hospital Based Program,50,50,50,50,0,50,31236,5,5,93,5,92,5,91,5,93,95,47,42,964,250,1214,Excellent,44.0488267,-94.4098392
595,MA,596,227568,BETTER LIFE AT HOME LLC,"173 PINE STREET, LOWELL MA 1852",9786818000,Local,50,50,50,50,0,50,41375,5,5,95,5,92,5,93,5,91,92,54,17,963,250,1213,Excellent,42.6326352,-71.3330068
597,TX,598,677532,PILOT POINT HOME HEALTH INC,"401 EAST MAIN STREET, WHITESBORO TX 76273",9035647709,Local,50,50,50,50,0,50,33879,5,5,94,5,95,5,90,5,93,91,52,50,963,250,1213,Excellent,33.6557975,-96.9023417
599,KY,600,187159,SUNCREST HOME HEALTH,"72 LONE OAK DRIVE, CADIZ KY 42211",2705220488,Local,50,50,50,50,0,50,35948,5,5,94,5,92,5,92,5,93,91,149,41,962,250,1212,Excellent,36.86656,-87.8135403
603,TX,604,747424,HEAVENLY NURSES HOME HEALTH LLC,"5411 MCPHERSON SUITE 105, LAREDO TX 78041",9567269700,Official Health Agency,50,50,50,50,50,0,40389,5,5,94,5,90,5,90,5,97,91,66,44,962,250,1212,Excellent,27.5471522,-99.4814485
606,MD,607,217142,CHESTER RIVER HOME CARE AND HOSPICE LLC,"103 BROWN STREET, CHESTERTOWN MD 21620",4107781049,Local,50,50,50,0,50,50,35462,5,5,93,5,91,5,90,5,95,92,240,34,961,250,1211,Excellent,39.216298,-76.065228
607,MO,608,267522,"COMFORT CARE HOME HEALTH AGENCY, INC","1415 WALNUT STREET, DONIPHAN MO 63935",5739963524,Local,50,50,50,50,0,50,35345,5,5,96,5,94,5,91,5,90,90,90,41,961,250,1211,Excellent,36.6296174,-90.8249024
617,DE,618,87044,"SUMMIT ORTHOPAEDIC HOME CARE, LLC","32 WEST LOOCKERMAN STREET, SUITE 108, DOVER DE 19904",3029669604,Local,50,50,50,50,50,0,42331,5,5,94,5,93,5,92,5,91,90,317,51,960,250,1210,Excellent,39.1573762,-75.5253498
628,TX,629,679029,1ST TEXAS HOME HEALTH,"324 MEYER, SEALY TX 77474",9798770900,Local,50,50,50,50,50,0,36971,5,5,95,5,90,5,90,5,93,92,243,35,960,250,1210,Excellent,29.780238,-96.1567997
629,TX,630,679156,SHER DEN HOME HEALTH,"810 NORTH TRAVIS STREET, SHERMAN TX 75090",9038921000,Local,50,50,50,50,0,50,37498,5,5,94,5,91,5,92,5,93,90,85,35,960,250,1210,Excellent,33.64334,-96.611763
644,OK,645,377678,"IDEAL HOME CARE, LP","2417 CHICKASAW BLVD, ARDMORE OK 73401",5802262323,Local,50,50,50,50,0,50,38261,5,5,93,5,92,5,92,5,92,90,439,40,959,250,1209,Excellent,34.2006244,-97.1410617
708,PA,709,397747,EXPERT HOME CARE,"1200 BUSTLETON PIKE SUITE 14, FEASTERVILLE PA 19053",2153640340,Visiting Nurse Association,50,50,50,50,0,50,36789,5,5,100,5,100,5,95,4,90,91,47,42,956,250,1206,Excellent,40.1542811,-75.0024745
712,TX,713,677142,ELECTRA MEMORIAL HOSPITAL HOME HEALTH SERVICES,"113 WEST CLEVELAND STREET, ELECTRA TX 76360",9404952900,Hospital Based Program,50,50,50,50,0,50,32223,5,5,93,5,90,5,91,5,92,90,98,33,956,250,1206,Excellent,34.0303045,-98.9190368
857,PA,858,398129,DYNAMIC HOME HEALTH CARE INC,"550 STATE ROAD, SUITE 113, BENSALEM PA 19020",2152444466,Visiting Nurse Association,50,50,50,50,0,50,40277,5,5,97,5,95,5,94,4,92,92,50,30,950,250,1200,Excellent,40.0601874,-74.9755162
869,KY,870,187172,LIFELINE ROCKCASTLE HOME HEALTH,"145 LEWIS STREET, MOUNT VERNON KY 40456",6062561808,Local,50,50,50,50,50,0,36712,5,5,96,5,92,5,93,4,93,95,84,32,949,250,1199,Excellent,37.3567878,-84.3371523
1008,NE,1009,287101,YORK GENERAL HOSP HOME HEALTH,"2319 N LINCOLN AVENUE, YORK NE 68467",4023621444,Hospital Based Program,50,50,50,50,0,50,35041,5,5,93,5,92,5,93,4,92,92,55,49,942,250,1192,Excellent,40.884014,-97.594988
1019,TX,1020,679027,1ST TEXAS HOME HEALTH,"710 LAMAR SUITE 340, WICHITA FALLS TX 76301",9407639500,Official Health Agency,50,50,50,50,0,50,36964,5,5,93,5,93,5,91,4,93,91,106,38,941,250,1191,Excellent,33.9115571,-98.493915
1025,OK,1026,377647,"TRADITIONS HOME CARE, INC","100 S 3RD STREET, MCALESTER OK 74501",9184260983,Local,50,50,50,50,0,50,37435,5,5,92,5,92,5,93,4,91,92,296,46,940,250,1190,Excellent,34.9301862,-95.766485
1026,OK,1027,377650,"NURSES TO GO, INC","4020 N LINCOLN BOULEVARD, SUITE 150, OKLAHOMA CITY OK 73105",4052261969,Official Health Agency,50,50,50,50,0,50,37566,5,5,91,5,90,5,94,4,93,92,113,57,940,250,1190,Excellent,35.5120076,-97.5025815
1036,NV,1037,297205,"GENESIS HOME HEALTH SERVICES, INC","705 AVENUE K STE C, ELY NV 89301",7752892226,Local,50,50,0,50,0,50,41470,5,5,99,5,96,5,95,5,99,98,41,51,987,200,1187,Excellent,39.2499379,-114.8720457
1038,WV,1039,517805,JACKSON HOME HEALTH,"105 NORTH COURT STREET, SUITE 2, RIPLEY WV 25271",3043725913,Local,50,50,50,50,0,50,32981,5,5,91,5,92,5,91,4,92,91,168,38,937,250,1187,Excellent,38.8191067,-81.7116123
1039,AL,1040,17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC","83825 HIGHWAY 9, ASHLAND AL 36251",2563540077,Local,50,50,50,0,50,50,33904,5,5,93,5,91,5,90,4,92,90,226,39,936,250,1186,Excellent,33.2773548,-85.8242805
1043,CA,1044,59744,CARE FOR ALL HOME HEALTH CARE INC,"7918 1/2 FOOTHILL BLVD, SUNLAND CA 91040",8006873709,Local,50,50,50,50,0,0,42621,5,5,95,5,96,5,98,5,100,96,89,28,985,200,1185,Excellent,34.2350465,-118.2578425
1091,ME,1092,207062,"MADIGAN HOME HEALTH CARE, INC.","93 MILITARY STREET, HOULTON ME 4730",2075327480,Visiting Nurse Association,50,50,50,0,0,50,35145,5,5,95,5,96,5,93,5,99,93,73,49,976,200,1176,Excellent,46.1241191,-67.8302979
1105,TX,1106,677027,ROLLING PLAINS HOME HEALTH,"200 EAST ARIZONA, SWEETWATER TX 79556",3252352030,Hospital Based Program,50,50,50,0,0,50,31420,5,5,96,5,92,5,96,5,97,92,43,36,973,200,1173,Excellent,32.453745,-100.3982409
1107,MI,1108,237469,HORIZON HOME CARE,"1001 GIESAU DRIVE, ONTONAGON MI 49953",9068846092,Local,50,50,50,0,0,50,37390,5,5,94,5,97,5,93,5,94,94,60,49,972,200,1172,Excellent,46.860182,-89.2996196
1108,NC,1109,347063,VIDANT HOME HEALTH AND HOSPICE,"750 SOUTH KENANSVILLE BYPASS, KENANSVILLE NC 28349",9102960887,Local,50,50,0,0,50,50,27138,5,5,97,5,91,5,91,5,98,95,102,24,972,200,1172,Excellent,34.9367533,-77.9762149
1125,FL,1126,108001,ANCHOR HOMECARE,"103 HWY 71 NORTH, WEWAHITCHKA FL 32465",8502273331,Local,50,50,0,50,50,50,37932,5,4,91,5,90,5,91,4,93,93,59,35,918,250,1168,Excellent,30.1133187,-85.2006937
1128,LA,1129,197447,"MAGNOLIA HOME HEALTH CARE, INC","1285 PINE ST., SUITE 100, ARCADIA LA 71001",3182632100,Local,50,50,50,50,0,50,33735,5,4,91,5,90,5,93,4,92,92,100,47,918,250,1168,Excellent,32.5489002,-92.9160093
1146,AL,1147,17112,JACKSON MEDICAL CENTER HOME HEALTH,"3748N COLLEGE AVENUE, JACKSON AL 36545",2512470424,Hospital Based Program,50,50,0,50,0,50,34149,5,5,95,5,90,5,90,5,97,93,122,37,965,200,1165,Excellent,31.5311075,-87.8990364
1149,IA,1150,167106,LAKES REGIONAL HEALTHCARE HOME CARE,"1900 41ST ST, SPIRIT LAKE IA 51360",7123368709,Hospital Based Program,50,50,50,50,0,50,28991,5,5,93,5,90,5,90,3,91,91,75,42,915,250,1165,Excellent,43.4008695,-95.119581
1152,KS,1153,177079,MARION COUNTY HOME CARE SERVICES,"535 SOUTH FREEBORN, MARION KS 66861",6203823690,Hospital Based Program,50,50,50,0,0,50,29160,5,5,95,5,93,5,90,5,94,93,86,61,965,200,1165,Excellent,38.3426807,-97.01045
1153,LA,1154,197748,ALLEN PARISH HOME HEALTH,"532 N 8TH STREET, KINDER LA 70648",3377385627,Hospital Based Program,50,50,0,50,0,50,34999,5,5,95,5,95,5,90,5,92,93,45,35,965,200,1165,Excellent,30.4824923,-92.850147
1163,MO,1164,267127,LEWIS COUNTY HOME HEALTH AGENCY,"P O BOX 96, MONTICELLO MO 63457",5737675312,Official Health Agency,50,50,50,0,0,50,30348,5,5,92,5,93,5,92,5,96,91,67,56,964,200,1164,Excellent,40.122226,-91.7097584
1165,MS,1166,257143,TENDER LOVING CARE,"11010 HIGHWAY 49, SUTE 4, GULFPORT MS 39503",2288319821,Local,50,50,50,50,50,0,37537,5,4,91,5,90,5,90,4,91,92,175,29,914,250,1164,Excellent,30.4431818,-89.0963504
1292,TX,1293,747668,REGENCY HOME HEALTH OF SCHULENBURG,"309 KESSLER, SCHULENBURG TX 78956",9797434663,Local,50,50,50,50,0,0,40969,5,5,93,5,92,5,91,5,92,91,64,40,959,200,1159,Excellent,29.6835508,-96.9034681
1575,OK,1576,377773,ALLY HOME HEALTH LLC,"212 WEST MAIN STREET, BINGER OK 73009",4056562203,Local,50,50,50,0,0,50,41662,5,5,94,5,96,5,95,4,92,90,56,34,947,200,1147,Excellent,35.3085813,-98.3436425
1732,AL,1733,17013,KINDRED AT HOME,"1239 RUCKER BLVD, ENTERPRISE AL 36330",3343470234,Official Health Agency,50,50,50,0,0,50,27599,5,5,91,5,91,5,90,4,90,92,266,35,934,200,1134,Excellent,31.3287251,-85.8183712
1995,AL,1996,17146,NORTHWEST HOME HEALTH,"711 HOSPITAL DRIVE, NE, RUSSELLVILLE AL 35653",2563310006,Hospital Based Program,50,50,0,0,0,50,36069,5,5,97,5,96,5,93,5,92,97,60,32,975,150,1125,Excellent,34.5078726,-87.7286431
2024,TX,2025,679762,ON CALL HOME HEALTH AND REHAB SERVICES,"135 N COLLEGIATE DRIVE, PARIS TX 75460",9037846300,Official Health Agency,50,50,0,0,0,50,39552,5,5,94,5,94,5,92,5,97,96,108,52,973,150,1123,Excellent,33.6620067,-95.5256157
2063,TX,2064,679536,MERRYMAN HOME HEALTH INC,"100 DECHERD STE A&B, FRANKLIN TX 77856",9798281173,Local,50,50,0,0,0,50,38939,5,5,94,5,94,5,95,5,94,92,92,43,969,150,1119,Excellent,31.0257153,-96.4875237
2723,AL,2724,17090,KINDRED AT HOME,"114 ACADEMY AVENUE, BUTLER AL 36904",2518432808,Local,50,50,0,0,0,50,33765,5,5,92,5,94,5,91,4,92,90,168,30,939,150,1089,Excellent,32.0901714,-88.2198646
